CustomerId,CompanyName,ContactName,Address,City,Region,PostalCode,Country,Phone
1,Company A,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,(123)555-0100
10,Company J,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,(123)555-0100
11,Company K,Peter Krschne,123 11th Street,Miami,FL,99999,USA,(123)555-0100
12,Company L,John Edwards,123 12th Street,Las Vegas,NV,99999,USA,(123)555-0100
13,Company M,Andre Ludick,456 13th Street,Memphis,TN,99999,USA,(123)555-0100
14,Company N,Carlos Grilo,456 14th Street,Denver,CO,99999,USA,(123)555-0100
15,Company O,Helena Kupkova,456 15th Street,Honolulu,HI,99999,USA,(123)555-0100
16,Company P,Daniel Goldschmidt,456 16th Street,San Francisco,CA,99999,USA,(123)555-0100
17,Company Q,Jean Philippe Bagel,456 17th Street,Seattle,WA,99999,USA,(123)555-0100
18,Company R,Catherine Autier Miconi,456 18th Street,Boston,MA,99999,USA,(123)555-0100
19,Company S,Alexander Eggerer,789 19th Street,Los Angelas,CA,99999,USA,(123)555-0100
2,Company B,Antonio Gratacos Solsona,123 2nd Street,Boston,MA,99999,USA,(123)555-0100
20,Company T,George Li,789 20th Street,New York,NY,99999,USA,(123)555-0100
21,Company U,Bernard Tham,789 21th Street,Minneapolis,MN,99999,USA,(123)555-0100
22,Company V,Luciana Ramos,789 22th Street,Milwaukee,WI,99999,USA,(123)555-0100
23,Company W,Michael Entin,789 23th Street,Portland,OR,99999,USA,(123)555-0100
24,Company X,Jonas Hasselberg,789 24th Street,Salt Lake City,UT,99999,USA,(123)555-0100
25,Company Y,John Rodman,789 25th Street,Chicago,IL,99999,USA,(123)555-0100
26,Company Z,Run Liu,789 26th Street,Miami,FL,99999,USA,(123)555-0100
27,Company AA,Karen Toh,789 27th Street,Las Vegas,NV,99999,USA,(123)555-0100
28,Company BB,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,(123)555-0100
29,Company CC,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,(123)555-0100
3,Company C,Thomas Axen,123 3rd Street,Los Angelas,CA,99999,USA,(123)555-0100
4,Company D,Christina Lee,123 4th Street,New York,NY,99999,USA,(123)555-0100
5,Company E,Martin O’Donnell,123 5th Street,Minneapolis,MN,99999,USA,(123)555-0100
6,Company F,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,(123)555-0100
7,Company G,Ming-Yang Xie,123 7th Street,Boise,ID,99999,USA,(123)555-0100
8,Company H,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,(123)555-0100
9,Company I,Sven Mortensen,123 9th Street,Salt Lake City,UT,99999,USA,(123)555-0100
